Date;Time;Location;Operator;Starting point;Route;Type;Aboard;Fatalities;Summary;Loc_Latitude;Loc_Longitude;Start_Latitude;Start_Longitude;Temp_Max;Temp_Min;Precipitation;Wind_Max;Cloud_Cover;Pressure;General_Conditions
1941-03-28;;Elands Bay, South Africa;South African Airways;;;Lockheed 18 Lodestar;10;10;Crashed into a mountain.;-32,3177902;18,3176636;;;24,6;12,7;0;20,7;33;1012,2;Partly Cloudy
1941-06-19;;Bucharest, Romania;LARES;Bucharest , Romania;Bucharest , Romania- Sofia, Bulgaria;Douglas DC-3;15;15;Crashed during takeoff.;44,4361414;26,1027202;44,4361414;26,1027202;22,2;15,7;6;17,1;96;1000,7;"Rain; Overcast"
1941-06-21;;Sea of Japan;Manchurian Air Lines;;;Mitsubishi MC-20;18;18;;43,0600172;137,3353041;;;12,1;10,6;5,5;25,3;100;998,6;"Rain; Overcast"
1941-10-08;20:35:00;Arran, Scotland;Military -Royal Air Force;;;Consolidated LB-30A Liberator;22;22;Crashed into a mountain ridge in rain, low visibility and overcast conditions. Navigational error.;55,577451;-5,2521609;;;12,9;11,7;2,6;18,1;99;990,6;"Rain; Overcast"
1941-08-14;20:40:00;Ayr, Scotland;Military - Royal Air Force;;;Consolidated LB-30A Liberator;22;22;Crashed and burned on takeoff at Heathfield airfield, after veered off the runway and striking a small building and then an embankment.;55,4628044;-4,6302502;;;14,2;11,2;1;27,5;86;1002,6;"Rain; Overcast"
1941-08-18;;Near Sao Paulo, Brazil;Panair do Brasil;Porto Alegre ;Porto Alegre - Rio de Janera;Lockheed 18 LodeStar;12;8;Crashed in a mountain range while enroute.;-23,5506507;-46,6333824;-30,0324999;-51,2303767;18,8;14,3;0,2;18,3;99;932,6;"Rain; Overcast"
1941-01-09;;Bollemont, France;Air France;;;Bloch 220;17;13;The aircraft crashed into lake Bolomon after engine failure during takeoff.;46,603354;1,8883335;;;-4,3;-9,9;0;23,3;52;995,7;Mostly Cloudy
1941-01-09;;Campbeltown, Argyll, Scotland;British Overseas Airways;;;Consolidated 32-2 Liberator I;10;10;Crashed into a hillside.;55,4241858;-5,6051005;;;2,4;-0,3;0;14,7;69;1038;Mostly Cloudy
1941-03-10;17:48:00;San Juan, Puerto Rico;Pan American World Airways;Miami ;Miami - Buenos Aires;Sikorsky S-42B (flying boat);15;2;Following the approach, the aircraft contacted the water in an unduly nose-low attitude while moving sideways relative to the water.  Almost immediately after first contact with the water, the aircraft swerved violently to the right and broke into several major sections. The failure of the captain to exercise requisite caution and skill in landing. A contributing factor was the smooth surface of the water, which rendered difficult, the captain's depth perception as well as the exact determination of any lateral movement of the aircraft.;18,465299;-66,116666;25,7741566;-80,1935973;28,8;22,5;0,1;19,9;15;1013,2;"Rain; Clear"
1941-10-28;;;Deutsche Lufthansa;;;Junkers JU-53/3m;13;13;;;;;;;;;;;;Unknown
1941-10-30;02:04:00;Near Moorhead, Minnesota;Northwest Orient Airlines;Minneapolis ;Minneapolis - Fargo;Douglas DC-3;15;14;Crashed in fog and mist due to icing on the wings. The pilot, Clarence Bates, was thrown clear of the wreckage and was the lone survivor. Accumulation of ice on the wings and other surfaces of the airplane, increasing the stalling speed and the drag of the airplane on the power required to maintain flight. Action of the captain in descending to attempt a landing at Fargo with known icing conditions and critical ceiling conditions instead of proceeding to an available alternate.;46,8739081;-96,7538674;44,9772995;-93,2654692;2,6;-2;1,3;21,6;65;994,7;"Snow; Rain; Mostly Cloudy"
1941-10-30;22:10:00;St. Thomas, Ontario, Canada;American Airlines;New York ;New York - Buffalo - Chicago - Detroit;Douglas DC-3;20;20;The aircraft, on a flight from New York to Chicago, circled a wooded area 3 or 4 times looking for a landing spot before stalling and diving into a plowed field. Cause unknown.;42,779022;-81,1929882;40,7127281;-74,0060152;10,3;5,6;2,9;20,5;98;998,6;"Rain; Overcast"
1941-11-12;;Miami, Florida;Pan American Airways;;;;3;3;;25,7741566;-80,1935973;;;24,9;20,7;0;23,3;10;1015,4;Clear
1942-01-16;19:23:00;Near Las Vegas, Nevada;Trans Continental and Western Air;Las Vegas ;Las Vegas - Los Angeles;Douglas DC-3;22;22;The aircraft crashed into Mt. Potosi (Double Up Peak, Table Spring Mountain, Olcott Mountain), 32 miles SW of Las Vegas, NV, 15 minutes after taking off from the Western Airlines terminal building at Las Vegas. The aircraft clipped a rocky ledge, cartwheeled into the face of a cliff and exploded, scattering wreckage at the bottom of a ravine. Actress Carole Lombard, 33, her mother, and press agent  were killed in the crash. Her mother did not want to fly and a coin was tossed to see whether the trip would be made by train or plane. The actress was returning from a war-bond promotion.  The flight was 6.7 miles off course for unknown reasons.  Failure of the captain to follow a proper course and make use of navigation facilities available to him. A contributing factor was the blackout of beacons in the area made necessary because of the war emergency.;36,1674263;-115,1484131;36,1674263;-115,1484131;11,8;3,4;0;11,1;41;947,2;Partly Cloudy
1942-01-20;;Manado, Indonesia;Military - Royal Australian Air Force;;;Lockheed Hudson;11;11;;1,505288;124,8860106;;;27,8;24,1;2;9,5;82;1003;"Rain; Overcast"
1942-01-24;;Near Samarinda, Borneo;KNILM;;;Douglas DC-3;;;Shot down by Japanese military aircraft.;-0,5017804;117,1393089;;;29,7;23,5;2,5;8,4;96;1009,9;"Rain; Overcast"
1942-01-26;;Kupang, Timor;KNILM;;;Grumman G-21 Goose;;;Shot down by Japanese military aircraft.;-10,1480492;123,6338122;;;29;24,2;7,4;9,5;88;1008,6;"Rain; Overcast"
1942-01-30;;Near Kupang, Timor;Qantas;;;Short S-23 (flying boat);18;13;Shot down by Japanese military aircraft. Owned by British Overseas Airways.;-10,1480492;123,6338122;;;29,5;24;4,8;15;80;1007,1;"Rain; Overcast"
1942-02-14;;;China National Aviation Corporation;;;Douglas DC-2;;;;;;;;;;;;;;Unknown
1942-02-15;;English Channel, near Plymouth, England;British Overseas Airways;;;Consolidated Liberator;9;9;Shot down in error.;49,9892202;-2,2384698;;;5,6;4,1;0,3;28,2;83;1034,3;"Rain; Overcast"
1942-02-20;;Off Belmont, Brisbane, Australia;Qantas;;;deHavilland DH-86;9;9;Crashed shortly after takeoff after losing control in low clouds.;-27,5147784;153,1268563;;;24,1;21,1;22,1;27,9;67;997,3;"Heavy Rain; Mostly Cloudy"
1942-02-28;;Indian Ocean;British Overseas Airways;;;Short S-23 (flying boat);20;20;Shot down by Japanese military aircraft.;-9,9999999;69,9999999;;;27,5;25,9;1,5;13,7;24;1010,4;"Rain; Partly Cloudy"
1942-03-03;;Off Broome, Australia;Military - U.S. Army Air Force;;;Consolidated B-24 Liberator;33;19;;-17,9566909;122,2240181;;;35,5;26,4;0;21,5;43;1007,5;Partly Cloudy
1942-03-03;;Wyndham, Australia;KNILM;;;Douglas DC-3;12;8;Shot down by Japanese military aircraft.;-15,4867977;128,1236196;;;36;27,2;0;19,4;28;1008,5;Partly Cloudy
1943-08-27;;North Sea;Aktiebolaget Aerotransport;;;Douglas DC-3;7;7;Shot down by German military aircraft.;56,0026997;2,8144673;;;14,4;13,2;3,7;33,6;74;1006,3;"Rain; Windy; Mostly Cloudy"
1942-03-14;22:15:00;Kunming, China;China National Aviation Corporation;;;Douglas DC-2-221;17;13;Crashed 2 km from the Kunming Airdome shortly after takeoff.  Possible causes include engine failure,  overloading, sabotage and temporary blinding by a bright light.;25,0363006;102,7086139;;;18,6;8,7;10,1;13,8;75;814,5;"Heavy Rain; Mostly Cloudy"
1942-04-21;21:27:00;Pine Creek, Australia;Guinea Airways Limited;Brisbane ;Brisbane - Bachelor Field;Lockheed 14 Electra;12;12;;-13,8240162;131,835484;-27,4689623;153,0235009;33,2;23,3;0;9;54;987,8;Mostly Cloudy
1942-01-05;23:00:00;Salt Lake City, Utah;United Air Lines;San Francisco ;San Francisco - New York City;Douglas DST-A-207A;17;17;After taking off from Salt Lake, the aircraft proceeded in the wrong direction and crashed into the side of a hill 3.8 miles northeast of the Salt Lake City Airport. The point of impact was at an elevation of 5,053 feet above sea level and about 830 feet above the airport. A deviation from the proper course, for reasons undetermined.;40,7596198;-111,886797;37,7932754;-122,3963589;-10,6;-20,6;0;6,7;47;875;Partly Cloudy
1942-12-05;11:51:00;Miles City, Montana;Northwest Orient Airlines;Chicago ;Chicago - Seattle;Douglas DC-3-A-269;14;3;The plane hit an obstruction at the end of the runway, overran the runway boundry and crashed. The failure of the captain to complete the landing run in time to avoid the obstruction at the end of the runway, for reasons undetermined, and his action in attempting to take off after striking the obstruction.;46,4070219;-105,847843;41,8755616;-87,6244212;-3,8;-18,4;0;13,9;0;930,6;Clear
1942-01-07;12:00:00;Near Premier, West Virginia;Military - U.S. Army Air Forces;Battle Creek ;Battle Creek - Florence, SC;Douglas C-49E;21;21;Flew into a thunderstorm and was observed in a near vertical dive before crashing to the ground.  Icing, possible overloading.;37,4223352;-81,6437197;42,3192548;-85,1824269;-4,4;-7,7;1,2;13;67;973,1;"Snow; Rain; Mostly Cloudy"
1942-07-07;;Off Broken Head, Australia;Military - Royal Australian Air Force;;;Lockheed Hudson;10;10;;-28,715;153,5844444;;;15,8;10,5;1,1;20,1;46;1024,9;"Rain; Partly Cloudy"
1942-07-20;;Llanfair, England;Military - Royal Air Force;;;Lockheed Hudson;13;13;;50,828514;-4,5197235;;;17,8;14,4;0,4;23;78;1015,6;"Rain; Mostly Cloudy"
1942-08-13;;Algiers, Algeria;Air France;;;Liore et Olivier H-246 Air Boat;;4;Attacked by Royal Air Force fighters.  Crashed in the water while attempting to land.;36,7729333;3,0588445;;;31,1;21,4;0;19,4;0;1009,7;Clear
1942-08-21;;;Deutsche Lufthansa;;;Siebel Si-204;4;4;Lufthansa chairman, Von Gablenz killed.;;;;;;;;;;;Unknown
1942-08-22;;Trinidad;KLM Royal Dutch Airlines;;;Lockheed 14 Electra;13;13;;10,4435991;-61,261318;;;28,1;21,7;15,3;8,3;88;1000,4;"Heavy Rain; Overcast"
1942-08-23;;Invergordon, England;Military - Royal Air Force;;;Short Sunderland;14;13;;50,7209;-1,1137367;;;19,8;12,9;0;18,9;52;1014,8;Mostly Cloudy
1942-08-25;14:00:00;Near Dunbeath, Scotland;Military - Royal Air Force;;;Short Sunderland (flying boat);14;13;The plane crashed while on a flight to Iceland during WWII. The aircraft was part of the 228th Squadron RAF.  The plane hit high ground at Eagle Rock in the Scottish Highlands in poor visibility. Possible navigational error but exact cause unknown.  Prince George, Duke of Kent was among the dead.;58,248257;-3,4275945;;;14,6;10,9;1,2;28,4;98;1008,5;"Rain; Overcast"
1942-09-27;;Ameur el Ain, Algeria;Air France;;;Dewoitine D-342;25;25;Crashed during takeoff.;36,5939375;3,91993;;;20,4;13,6;0,5;27,4;57;968,8;"Rain; Mostly Cloudy"
1942-01-10;;Kunming, China;China National Aviation Corporation;;;Douglas C-47;;;Crashed while attempting to land after losing oil pressure on one engine.;25,0363006;102,7086139;;;14,8;4,7;0;19,3;17;808,3;Clear
1942-01-10;09:30:00;Near Coamo, Puerto Rico;Military - U.S. Army Air Forces;Caomo ;Caomo - San Juan;Douglas C-39-DO  (DC-2);22;22;The aircraft made a wide descending turn with engines running roughly and crashed into a hill.;18,0960713;-66,3535752;11,0372438;-85,3953284;26;22,3;1,3;25,2;30;999,1;"Rain; Partly Cloudy"
1942-03-10;19:05:00;Botwood, Newfoundland;American Export Airlines;New York ;New York - Botwood - Foynes, Ireland;Sirkorsky 44A (flying boat);37;11;While attempting to takeoff, aircraft porpoised, attained a height of 35 ft. and then crashed into the water and broke up. Inadvertent actuation of the wing flaps to the full 35 degrees position during the take-off run, thereby rendering the aircraft excessively nose-heavy and uncontrollable.;49,14219;-55,343628;40,7127281;-74,0060152;1,7;-4,1;9,4;15,3;100;1007,7;"Snow; Rain; Overcast"
1942-10-22;;;Deutsche Lufthansa;;;Junkers JU-52/3m;17;17;;;;;;;;;;;;Unknown
1942-10-23;17:15:00;Palm Springs, California;American Airlines / Military - USAF;Palm Springs ;Palm Springs - New York City;Douglas DC-3 / Boeing B-34;13;12;Midair collision between an Army bomber and airliner over Chino Canyon near Palm Springs at 9,000 feet destroying the rudder of the DC-3.  All 12 aboard the DC-3 were killed. The Boeing B-34 landed safely with minor damage. The reckless and irresponsible conduct of the bomber pilot, William Wilson, in deliberately maneuvering a bomber in dangerous proximity to an airliner in an unjustifiable attempt to attract the attention of the first officer, his friend aboard the airliner. Composer and song writer Ralph Rainger, 41, killed.`;33,8246269;-116,540303;33,8246269;-116,540303;31,5;14,1;0;8,7;0;993;Clear
1942-10-30;;Norway;Military - Royal Air Force;;;Handley Page HP-57 Halifax;10;10;;61,1529386;8,7876653;;;-0,3;-3,6;6,2;5,5;99;935,5;"Snow; Rain; Overcast"
1942-12-15;01:22:00;Fairfield, Utah;Western Airlines;Salt Lake ;Salt Lake - Las Vegas - Burbank;Douglas DC-3A;19;17;Crashed after performing a violent maneuver.  Failure of the left, or possibly both wing tips and of the horizontal  tail  surfaces as a result of a sever pull-up which caused unusual and  abnormally high air loads. The reason the pull-up maneuver was not determined.;40,2621714;-112,092996;40,6632297;-111,9103124;-0,1;-11,9;0;3,7;98;860,5;"Fog; Overcast"
1942-12-19;;Wien, Vienna;DLL;;;Junkers JU-52/3m;16;2;;48,2032864;16,3691936;;;5,9;2;0,2;10,1;90;990,7;"Fog; Rain; Overcast"
1943-09-01;;River Tagus, Lisbon, Portugal;British Overseas Airways;;;Short S-26 (flying boat);13;13;;38,7177655;-9,1190455;;;27,9;18,1;0;22,9;13;1010,5;Clear
1943-01-15;;Near Paramarino, Dutch Guyana;Military - U.S. Army Air Forces;;;Douglas C-54A;35;35;Crashed along the coast of South American while en route to Africa.;6,7797884;-58,5111658;;;24,9;23;71,7;22,2;100;1009,3;"Heavy Rain; Overcast"
1943-01-18;23:00:00;Off the Brazilian coast,  AtlantiOcean;Military - U.S. Army Air Forces;Accra, Ghana ;Accra, Ghana - Natal, Brazil;Consolidated C-87;26;26;Disappeared while en route and never found.;;;5,5571096;-0,2012376;;;;;;;Unknown
1943-01-21;07:30:00;Ukiah, California;Pan American World Airways;Hawaii ;Hawaii - San Francisco;Martin M-130 (flying boat);19;19;Flew into a 2,500 ft. mountain while circling in bad weather, after being unable to land in darkness and deciding whether to divert to San Diego. Clipped trees, struck the ground and broke up.  Failure of the captain to determine his position accurately before descending to a dangerously low altitude under extremely poor weather conditions during the hours of darkness. The aircraft was named Philippine Clipper.;39,1501662;-123,2077861;19,5938015;-155,4283701;13,1;6,1;72;40,1;99;972,4;"Thunderstorm; Heavy Rain; Windy; Overcast"
1943-01-22;15:15:00;Near Chaparra, Peru;Pan American Grace Airlines;Santiago, Chili ;Santiago, Chili - Arequipa, Peru - Lima, Peru;Douglas DC-3A;15;14;The aircraft crashed into the Mt. Chaparra in the Andes mountains while en route.  Action of the pilot in continuing the flight on instruments in the overcast, contrary to company flight procedure of which, according to the evidence, the pilot was aware.;-15,7388369;-73,8618503;-33,4377756;-70,6504502;19,8;16;5;11,3;97;893,6;"Rain; Overcast"
1943-09-02;;Near Gander, Newfoundland;British Overseas Airways;;;Consolidated 32-3 Liberator II;21;19;Ran out of fuel.;48,9592291;-54,6187879;;;14,8;10,6;0,3;21;98;995,9;"Rain; Overcast"
1943-02-18;12:30:00;Seattle, Washington;Private - Boeing Aircraft Company;Test flight;Test flight;Boeing XB-29;10;10;Lost altitude, struck power lines and crashed into a packing house after encountering an engine fire on a test flight.;47,6038321;-122,330062;35,0593227;-118,1528449;11,2;4,1;0;9,9;27;1019,8;Partly Cloudy
1943-02-22;06:47:00;Lisbon, Portugal;Pan American World Airways;New York City ;New York City - Lisbon;Boeing B-314 (flying boat);39;25;Crashed into the Targus River in poor weather while attempting to land. Inadvertent contact of the left wing tip of the aircraft with the water while making a descending turn preparatory to landing. The aircraft was named the Yankee Clipper.  Novelist Ben Robertson and singer, actress Tamara Drasin, 34, among those killed. Actress Jane Froman seriously injured.;38,7077507;-9,1365919;40,7127281;-74,0060152;15,7;9,3;0;13;26;1024,4;Partly Cloudy
1943-11-03;;Luishui, China;China National Aviation Corporation;Kunming ;Kunming - Assam;Douglas C-53;3;3;The cargo plane was caught in a downdraft in a mountain pass en route and crashed.;35,000074;104,999927;25,0363006;102,7086139;12,2;6,5;1,6;22,6;88;797,5;"Rain; Overcast"
1943-03-13;;Himalaya, China;China National Aviation Corporation;Kunming ;Kunming - Dinjan;Douglas C-53;3;3;Disappeared over the Himalayas.;30,5231861;80,5727039;25,0363006;102,7086139;-12,9;-27,8;0;5,8;10;547,3;Clear
1943-03-27;05:15:00;Archerfield Aerodrome, Queensland, Australia;Military - Royal Australian Air Force;;;Douglas C-47-DL;24;24;The aircraft, taking off in darkness and poor visibility, crashed in heavy timber and caught fire.;-27,569486;153,0087254;;;26,7;19,5;2,1;13,6;68;1013,7;"Rain; Mostly Cloudy"
1943-04-22;;Off Port Moresby, New Guinea;Qantas;;;Short S-23;13;13;Stalled and crashed in poor weather into the water during an emergency landing on the open sea. Broke up in heavy seas.;-9,4099744;147,1734397;;;25,9;23,2;81,6;12,5;100;1007,7;"Heavy Rain; Overcast"
1943-01-06;11:00:00;Off the coast of France;British Overseas Airways;Lisbon ;Lisbon - London;Douglas DC-3;17;17;Shot down by the German Air Force over the Bay of Biscay. The last message received from the plane was it was being attacked by an enemy aircraft. The aircraft had a Dutch crew. British actor Leslie Howard, 42, killed.;46,603354;1,8883335;38,7077507;-9,1365919;7,9;3,1;1;17,5;59;988,5;"Rain; Mostly Cloudy"
1943-07-06;04:00:00;Red Springs, North Carolina;Military - U.S. Army Air Forces;Pope Field ;Pope Field - Maxton;Douglas C-47A-DL;20;20;Crashed in thunderstorm activity while attempting to land.;34,815158;-79,1837649;39,7921995;-85,7355803;30,4;22,9;6,6;10,7;87;1003,8;"Rain; Overcast"
1943-06-14;;Near Mackay, OLD, Australia;Military - U.S. Army Air Forces;;;B-17C Flying Fortress;41;40;The aircraft took off into ground fog and leveled off at an altitude of about 300 feet. In a matter of minutes the plane had caught fire in the air, and as it dived into the trees one of its wings came away leaving a great opening in the fuselage through which most of the passengers were emptied into the bush before the final impact.;-21,141956;149,1865149;;;23;17;0;17,9;42;1010,9;Partly Cloudy
1943-06-16;;Khartoum, Sudan;British Overseas Airways;;;Lockheed Hudson VI;17;17;;15,5038301;32,5738979;;;34,8;22,7;0;26,1;28;962,6;Partly Cloudy
1943-06-30;;Khartoum, Sudan;British Overseas Airways;;;Lockheed Hudson VI;16;16;;15,5038301;32,5738979;;;29,3;22,4;30,3;23;84;963,9;"Heavy Rain; Overcast"
1943-04-07;23:00:00;Gibraltar;;;;Consolidated Liberator B24 C;13;12;The flight, bound for London, crashed into the Mediterranean shortly after takeoff. Wladyslaw Sikorski, prime minister of the Polish government in exile, killed.;36,1285933;-5,3474761;;;20,1;11,8;0;20,5;7;995,8;Clear
1943-07-28;;Brandon Head, Ireland;British Overseas Airways;Lisbon ;Lisbon - Foynes - Poole;Short Sunderland 3 (flying boat);25;12;;52,2757233;-10,2429647;38,7077507;-9,1365919;18,2;11,8;0,6;15,2;66;1020,5;"Rain; Mostly Cloudy"
1943-07-28;22:43:00;Trammel, Kentucky;American Airlines;Cleveland ;Cleveland - Memphis;Douglas DC-3;22;20;The aircraft crashed into trees while attempting to land in strong turbulence and violent downdrafts. There was evidence that most of the occupants in the cabin were victims of suffocation or fire, or both, because of their inability to effect an exit from the aircraft. Loss of control of the aircraft due to unusually severe turbulence and violent downdraft caused by a thunderstorm of unknown and unpredictable intensity.;36,7853194;-86,3533242;41,4996574;-81,6936772;33,8;21,4;0;10;30;988,7;Partly Cloudy
